SMA,ROC,Multiplier,Breadth,Full_Trading_CAGR,Full_Std_MaxDD,Full_Calmar,Return_2022
200,10,1.5,200,0.21195703713231273,-0.2586597827767488,0.8194433431317556,-0.11021397643333326
200,10,1.5,240,0.2610087869337343,-0.16707556876874657,1.5622199514700024,-0.0657631789500003
200,10,1.5,290,0.22339999138519895,-0.26327438854003776,0.8485443366673137,-0.07411903992500007
200,10,1.5,330,0.2806098191647519,-0.17228459489034048,1.6287574599653596,-0.08520808613333354
200,10,2.0,200,0.25967021111030175,-0.2673272674227536,0.971356994794164,-0.16078387669999972
200,10,2.0,240,0.3006227500928673,-0.18100489391834182,1.6608542652359977,-0.09089945654999987
200,10,2.0,290,0.28274028057184775,-0.26182780460036376,1.079871104611687,-0.04907136849999974
200,10,2.0,330,0.3263060623712153,-0.17863351693296656,1.8266788225059907,-0.060160414708333214
200,10,2.5,200,0.2819988046515731,-0.25027113109216786,1.1267732056068458,-0.15440124537499944
200,10,2.5,240,0.3163139836110527,-0.18225458217034307,1.7355612124770166,-0.05303475257499963
200,10,2.5,290,0.3133107923265661,-0.2346974650226819,1.3349560136761032,-0.012735204008333136
200,10,2.5,330,0.34361043281498715,-0.1763255604780352,1.9487272967312677,-0.028270488166666528
200,10,3.0,200,0.2879206229630509,-0.26741393376339556,1.0766851932921317,-0.1614230358499994
200,10,3.0,240,0.3169518447741586,-0.17762469607283732,1.7843906381361991,-0.05193862449999973
200,10,3.0,290,0.32131099811836195,-0.22040278925356213,1.4578354439458119,-0.032822588924999785
200,10,3.0,330,0.3372579089699992,-0.17155279261252512,1.9659132552376526,-0.053966942633333057
200,10,3.5,200,0.2943228283214292,-0.25344652548703334,1.1612817644899502,-0.13969925749166634
200,10,3.5,240,0.3131070752074736,-0.19831715061235056,1.5788199570268246,-0.025310311833333224
200,10,3.5,290,0.32761971532997824,-0.23024635635734556,1.4229094458350857,-0.018485313349999984
200,10,3.5,330,0.33097343365455556,-0.19660867432674806,1.6834121627029737,-0.039629667058333255
200,14,1.5,200,0.19836029043417214,-0.33250364292629014,0.5965657659821336,-0.09355577326666688
200,14,1.5,240,0.2734765991742525,-0.1254634091998495,2.1797319307546803,-0.015543530275000383
200,14,1.5,290,0.21800048605496958,-0.3110623290515541,0.7008257371429863,-0.02747616036666706
200,14,1.5,330,0.29086384358881223,-0.1276582736332085,2.278456658630139,-0.05034285882500062
200,14,2.0,200,0.24494161601084286,-0.3409593372402781,0.7183895240804905,-0.12950399536666696
200,14,2.0,240,0.3098880757264173,-0.13175493130733518,2.3520036225707854,-0.059332237358333664
200,14,2.0,290,0.2705749530977921,-0.3148141629452639,0.8594751600957561,-0.01841263480000024
200,14,2.0,330,0.33030936784608644,-0.13779810790991595,2.3970529991748704,-0.0412793332583338
200,14,2.5,200,0.27180538111856545,-0.34692250627790805,0.7834757797490118,-0.18203517838333336
200,14,2.5,240,0.31249555424878106,-0.13800661226973557,2.2643520416109104,-0.0735556855250001
200,14,2.5,290,0.30645590993968286,-0.3205427083266962,0.9560532870625899,-0.03389946764166703
200,14,2.5,330,0.332523625301109,-0.1314004386971082,2.5306127483151775,-0.07262257240000045
200,14,3.0,200,0.28305984248424787,-0.27875164758844667,1.0154553163472666,-0.1491473538333334
200,14,3.0,240,0.31171263724023324,-0.19472526313824098,1.6007816973339488,-0.027780421491666634
200,14,3.0,290,0.3190921468643948,-0.2635849968490993,1.2105853924875436,0.011875796391666183
200,14,3.0,330,0.3279479731006065,-0.15092769161559233,2.1728813949919727,-0.030388900500000267
200,14,3.5,200,0.28552418498655396,-0.27991003009568777,1.0200569979180345,-0.14669989862500007
200,14,3.5,240,0.30550950505021923,-0.20452631633978186,1.493741785984513,-0.01866294564166665
200,14,3.5,290,0.3212016575004193,-0.264991343711356,1.212121320650726,0.009021482866666467
200,14,3.5,330,0.3199333156689135,-0.16750905654209997,1.9099463770694978,-0.04719055605833332
200,20,1.5,200,0.16561395524168865,-0.2895073817659966,0.5720543435937371,-0.19178408885833323
200,20,1.5,240,0.2290801657682502,-0.17057326876072965,1.3430015584070834,-0.10596495172499977
200,20,1.5,290,0.1869737424493958,-0.2647911350490748,0.7061178328902257,-0.14811925651666671
200,20,1.5,330,0.251920623526936,-0.14215391201508654,1.7721680673845974,-0.21966227159166685
200,20,2.0,200,0.21568860065182682,-0.27793412345609025,0.7760421713237476,-0.18588673379166623
200,20,2.0,240,0.2701497277356486,-0.18413099454293913,1.4671605310460103,-0.10622313750833286
200,20,2.0,290,0.23927804820198828,-0.25593435586481417,0.9349196101221212,-0.14782782854999973
200,20,2.0,330,0.29536088796032556,-0.1486607637363587,1.9868113181776133,-0.23447371637499978
200,20,2.5,200,0.2293503798225658,-0.2776653494502216,0.8259956824885798,-0.2592380449249998
200,20,2.5,240,0.2807422380908575,-0.18270416867277606,1.5365945951330102,-0.1378508959666663
200,20,2.5,290,0.2600495809078365,-0.2600957693294081,0.9998224176360473,-0.17820116250833323
200,20,2.5,330,0.30747487119162176,-0.1559290023928237,1.9718901966487066,-0.2807034566333331
200,20,3.0,200,0.23819761529691896,-0.28702395192098124,0.8298875884842379,-0.1874925962666663
200,20,3.0,240,0.28895613491869265,-0.2216448996945002,1.3036895291385884,-0.06339615587499974
200,20,3.0,290,0.27634655588707857,-0.263307967786877,1.049518395549485,-0.10374642241666665
200,20,3.0,330,0.3130803444469725,-0.16726001370785581,1.8718182397964724,-0.2137741078249996
200,20,3.5,200,0.23979778741913482,-0.2841800424040092,0.843823462726571,-0.1883663792583329
200,20,3.5,240,0.2836787204674158,-0.20078730570117595,1.4128319490954473,-0.06278487282499956
200,20,3.5,290,0.27917405268049444,-0.2623185232296713,1.0642559634878144,-0.08224399356666655
200,20,3.5,330,0.3029540053705255,-0.18166249420267136,1.6676750294561935,-0.1922716789749995
200,25,1.5,200,0.22472420824959394,-0.20180059020440008,1.1135953964355354,-0.13330716581666618
200,25,1.5,240,0.20144136498811815,-0.19268491063151136,1.0454444218175056,-0.062201558458332966
200,25,1.5,290,0.24299592923772262,-0.20323144234243612,1.195661096713003,-0.03661959511666621
200,25,1.5,330,0.22075751883997818,-0.1746335491301151,1.2641186068748866,-0.05948629357499977
200,25,2.0,200,0.2781114573698318,-0.2397570512398857,1.1599719630000416,-0.12255240032499978
200,25,2.0,240,0.24758449646389558,-0.21804747361278887,1.135461431227398,-0.05760233381666641
200,25,2.0,290,0.29655158515341506,-0.25310945670889456,1.1716337627577622,-0.03273314582499986
200,25,2.0,330,0.26804032307960957,-0.18797055103142898,1.4259697681834895,-0.05559984428333317
200,25,2.5,200,0.2894496654782277,-0.22742122607548917,1.2727469219700236,-0.2146815833916664
200,25,2.5,240,0.25964111314302785,-0.21746266727293406,1.1939571807843057,-0.12343672184166635
200,25,2.5,290,0.31622765208887293,-0.23638196125670818,1.337782504247239,-0.10079164839999999
200,25,2.5,330,0.2795960770723067,-0.19279855529231713,1.4501979885087262,-0.13886431082499995
200,25,3.0,200,0.29374963251247554,-0.23642843505418373,1.2424462922370365,-0.1429361347333332
200,25,3.0,240,0.2666852168916247,-0.21232992465051773,1.2559944969159318,-0.046921752249999844
200,25,3.0,290,0.32651228606733507,-0.2313146690497233,1.4115502808736617,-0.024276678808333476
200,25,3.0,330,0.28350857077728553,-0.19986897766494907,1.4184721115277126,-0.06589093336666674
200,25,3.5,200,0.29835121150962807,-0.2461893114319435,1.2118771922886837,-0.14704785948333318
200,25,3.5,240,0.25817390936984497,-0.24954458030989418,1.0345803104568914,-0.04954841095833307
200,25,3.5,290,0.3320356771849249,-0.24981770867008712,1.329111851007392,-0.011730774516666433
200,25,3.5,330,0.2740221640868441,-0.23466743559634318,1.1677042593936888,-0.05334502907499994
250,10,1.5,200,0.2334662962406533,-0.3849939690542479,0.6064154636348512,-0.1336563487666664
250,10,1.5,240,0.2427603401176872,-0.39635560460845737,0.6124811590780953,-0.08920555128333345
250,10,1.5,290,0.2173975237915422,-0.253304075459704,0.8582472405823022,-0.09756141225833347
250,10,1.5,330,0.28428000773732687,-0.16930324445833037,1.6791173060318703,-0.10865045846666668
250,10,2.0,200,0.28302395021082405,-0.3616374565969508,0.7826179093120257,-0.18422624903333312
250,10,2.0,240,0.28923959277760414,-0.37195757313237265,0.777614474526828,-0.11434182888333326
250,10,2.0,290,0.27907177993512655,-0.2394411313467749,1.1655131195105985,-0.07251374083333313
250,10,2.0,330,0.3317077482444788,-0.16582254867936694,2.0003778188566264,-0.08360278704166661
250,10,2.5,200,0.27158170957391214,-0.33335669293282627,0.814688036363013,-0.17784361770833285
250,10,2.5,240,0.2741299496374674,-0.36947753318000776,0.7419394280298839,-0.07647712490833303
250,10,2.5,290,0.30991666425667486,-0.2133883130379244,1.4523600652937116,-0.03617757634166653
250,10,2.5,330,0.34635752339704795,-0.18376771203780165,1.884757227242406,-0.05171286049999992
250,10,3.0,200,0.2709026575303284,-0.3213422812990017,0.8430345874038891,-0.18486540818333302
250,10,3.0,240,0.2751047170322083,-0.3554988672467634,0.7738553969603765,-0.07538099683333313
250,10,3.0,290,0.3180147379037741,-0.19927266857546258,1.595877348244298,-0.056264961258333177
250,10,3.0,330,0.33813239979550325,-0.17892561049732533,1.8897931875468315,-0.07740931496666645
250,10,3.5,200,0.2751340987664952,-0.3018458722568907,0.9115052550141814,-0.16314162982499972
250,10,3.5,240,0.27763684855515325,-0.33274659052268196,0.8343792437333115,-0.048752684166666366
250,10,3.5,290,0.32469632369271784,-0.2090469059007331,1.5532223368419593,-0.041927685683333125
250,10,3.5,330,0.3318671088573595,-0.20501858119904767,1.6187172251238906,-0.0630720393916664
250,14,1.5,200,0.23691634454589905,-0.32443415132979453,0.7302447771753483,-0.10870571346666688
250,14,1.5,240,0.24733756861574396,-0.29653507154020614,0.8340921272181065,-0.03069347047500039
250,14,1.5,290,0.22200564728897687,-0.29701025195909875,0.7474679605320467,-0.04262610056666707
250,14,1.5,330,0.29141430989086237,-0.12422808624121874,2.345800524730062,-0.06549279902500063
250,14,2.0,200,0.283002679486712,-0.25271402539122667,1.1198534748856754,-0.14465393556666697
250,14,2.0,240,0.29092033420116126,-0.22904729926957046,1.2701321304765578,-0.07448217755833368
250,14,2.0,290,0.273049616835636,-0.31654509746046783,0.862593099770677,-0.03356257500000025
250,14,2.0,330,0.331136624818009,-0.1341894133766489,2.4676806946652325,-0.05642927345833381
250,14,2.5,200,0.27100700672281675,-0.30033662884560164,0.9023441721526987,-0.19718511858333337
250,14,2.5,240,0.2800432558807757,-0.26780771152041966,1.0456877970051401,-0.0887056257250001
250,14,2.5,290,0.30835824893573904,-0.3222025075108542,0.9570324306844545,-0.04904940784166704
250,14,2.5,330,0.3356692752865269,-0.12808196097620908,2.6207381018227593,-0.08777251260000045
250,14,3.0,200,0.2653193124189832,-0.3198308947920599,0.8295612360759653,-0.1642972940333334
250,14,3.0,240,0.27466294088718013,-0.2857866551495528,0.9610768590417504,-0.04293036169166664
250,14,3.0,290,0.3200356234469708,-0.2790144399996221,1.1470217220564076,-0.003274143808333824
250,14,3.0,330,0.3311436226526705,-0.14709207301390315,2.25126763031867,-0.04553884070000028
250,14,3.5,200,0.2655412331564242,-0.3181671876017161,0.8345965376191795,-0.16184983882500006
250,14,3.5,240,0.27346596313104543,-0.2959055300248635,0.9241664497046319,-0.03381288584166666
250,14,3.5,290,0.32213796633342384,-0.28010571662564415,1.1500585215258388,-0.006128457333333542
250,14,3.5,330,0.32285145631366263,-0.16384086345791846,1.9705185232778335,-0.06234049625833332
250,20,1.5,200,0.21110941808219286,-0.3850727661923778,0.5482325332161379,-0.13082171286666655
250,20,1.5,240,0.22236617368530287,-0.3471360923391559,0.6405734770674569,-0.04500257573333296
250,20,1.5,290,0.19545962814699203,-0.2647911350490748,0.7381653019115111,-0.0871568805249999
250,20,1.5,330,0.25585101588504333,-0.14146226227196823,1.8086167418499008,-0.15869989560000003
250,20,2.0,200,0.2541357871183172,-0.2910599007803293,0.8731391250975526,-0.1208521241916664
250,20,2.0,240,0.2635291581575727,-0.2910599007803293,0.9054121074426712,-0.03496286557499952
250,20,2.0,290,0.24818029635160732,-0.25593435586481417,0.9697029361806252,-0.08875638134166648
250,20,2.0,330,0.29799717504571954,-0.14706493093675066,2.026296637462003,-0.1754022691666665
250,20,2.5,200,0.23292231542021646,-0.33164076297788725,0.7023331912782597,-0.1942034353249997
250,20,2.5,240,0.24431606402624784,-0.31008886172158806,0.7878904861974886,-0.06659062403333299
250,20,2.5,290,0.26839781059831647,-0.25971792394293325,1.0334204375408853,-0.11912971529999997
250,20,2.5,330,0.3100013930388006,-0.15440921214502074,2.0076612575916006,-0.22163200942499986
250,20,3.0,200,0.23362956758545717,-0.35197907358501407,0.6637598230084216,-0.12245798666666646
250,20,3.0,240,0.2418010547712388,-0.37138290599326446,0.6510828874165366,0.007864116058333715
250,20,3.0,290,0.28415012984478016,-0.25425408045628695,1.1175833612378667,-0.044674975208333134
250,20,3.0,330,0.31552766300753743,-0.1655626943390788,1.9057896120083946,-0.15470266061666632
250,20,3.5,200,0.23431891774124125,-0.36063823719194016,0.6497339815260111,-0.12333176965833306
250,20,3.5,240,0.23711368121643606,-0.38877476038917935,0.6098998838789731,0.008475399108333885
250,20,3.5,290,0.28689689574975996,-0.2623185232296713,1.0936966715788088,-0.02317254635833328
250,20,3.5,330,0.3055013330766905,-0.1799537476175581,1.6976658564841285,-0.13320023176666623
250,25,1.5,200,0.21581306210517348,-0.3239703192147074,0.6661507221658352,-0.16695670119999959
250,25,1.5,240,0.23098258147242046,-0.2691075721165751,0.8583280643339192,-0.09585109384166624
250,25,1.5,290,0.2433458391565837,-0.19174957784617122,1.2690814858106492,-0.07572222663333317
250,25,1.5,330,0.22884366941942602,-0.17114087065042694,1.3371655090318144,-0.09858892509166672
250,25,2.0,200,0.25100469433093453,-0.24288716027759624,1.0334210093446716,-0.1562019357083333
250,25,2.0,240,0.2642318607347114,-0.24941371191621312,1.059411925289321,-0.09125186919999967
250,25,2.0,290,0.2984235748762756,-0.22721751499747264,1.3133827948060912,-0.07183577734166657
250,25,2.0,330,0.27470889998800185,-0.18797055103142898,1.4614464791459278,-0.09470247580000013
250,25,2.5,200,0.23494804669941316,-0.3042298165281484,0.7722715984272204,-0.24783731357499983
250,25,2.5,240,0.2503373527381012,-0.29356194735834146,0.8527581826963513,-0.15733581469166652
250,25,2.5,290,0.3182967777704493,-0.21618103159640253,1.472362193019279,-0.1398942799166667
250,25,2.5,330,0.2836209522292661,-0.19279855529231713,1.4710740534297362,-0.17796694234166666
250,25,3.0,200,0.22752989947051017,-0.3104229133531084,0.7329674765718508,-0.17609186491666684
250,25,3.0,240,0.23966013502081873,-0.30948895462051845,0.7743737908665571,-0.08082084510000001
250,25,3.0,290,0.3283013783677524,-0.22755797550978235,1.4427153240060324,-0.06337931032500044
250,25,3.0,330,0.287477618197709,-0.19986897766494907,1.4383303579989433,-0.1049935648833337
250,25,3.5,200,0.22854236666232142,-0.29687643922242285,0.7698231872523071,-0.18020358966666683
250,25,3.5,240,0.2371819744270096,-0.3028920513341448,0.7830577705235153,-0.08344750380833323
250,25,3.5,290,0.3337387431808696,-0.2253723135093891,1.4808329292274223,-0.05083340603333339
