roc,atr_p,atr_m,Full_CAGR,Full_Calmar,Full_MaxDD,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
12,10,3.5,0.3296491295755357,3.0509493245146837,-0.10804805144640453,0.8966173393333325,0.4549395389635933,0.04412022282572159,0.10619048846155321,0.24753442084889987,0.24449463138215966
12,10,4.0,0.32805358155238307,2.570750434309094,-0.12761004614613616,0.9646536073999994,0.3949472820094664,0.04930679492414081,0.09865764999780469,0.2638040737945486,0.23229805504743872
12,10,4.5,0.32731737641420966,2.402630903427727,-0.13623290033739283,0.9498902257249993,0.40362113608345584,0.04555736228459195,0.09569559604829458,0.25282822094284496,0.24837264474870202
12,15,3.5,0.3222228850033506,2.5806861379997756,-0.12485938536218023,0.7952930255666655,0.4821573348707877,0.018726402479752657,0.10649308688847725,0.26914061113544707,0.2565768888871287
12,15,4.0,0.33096198688485523,2.742564796724012,-0.1206760865887977,0.923784921791666,0.46490941986245016,0.05039124278102114,0.08618246224184811,0.24750624474907257,0.2411937892324394
12,15,4.5,0.3245109509542268,2.5258673812459036,-0.12847505508945575,0.9531208665999995,0.3958358703471878,0.04573845199169413,0.09560487197565104,0.2513717294028195,0.23958922019663498
12,20,3.5,0.32154753175052897,2.4260737673104185,-0.13253823361974743,0.767284577208333,0.5052815187642681,0.008780774620031684,0.09796870414835523,0.28405436029176867,0.2598663894661961
12,20,4.0,0.3308607555403835,2.551306756730552,-0.12968285944743663,0.8648113729500002,0.46324870011842334,0.0638839259419457,0.08914658660476094,0.26782933816462795,0.24009087645425242
12,20,4.5,0.3355637877902322,2.796204066435311,-0.12000690214931971,0.9470458679499996,0.45954807017808585,0.05371446548554548,0.09728066579856076,0.26183309110488606,0.22513540023715795
13,10,3.5,0.3120066025827195,2.0366857290883327,-0.15319329738829213,0.7016778343166654,0.42241064311885057,0.06051135697947774,0.1780490037169835,0.21561876935451263,0.2556749304371295
13,10,4.0,0.3115414348608152,2.1189345235891697,-0.1470274005131168,0.7636543692166662,0.35916697515131113,0.0613674350787734,0.1777897879830701,0.23647621382112205,0.24482144216705604
13,10,4.5,0.3129597226413494,2.001486651939856,-0.15636363217212887,0.7564520478083328,0.3778361279357514,0.05515169056955638,0.1738677274061784,0.2362124607090843,0.2522411697244298
13,15,3.5,0.29967839237161487,1.7703728543412474,-0.16927416822775712,0.6167506407999992,0.40642393617363637,0.032806835333783146,0.17892623525479245,0.24584221855887645,0.26662093088914185
13,15,4.0,0.3138792404262081,2.1305884482182775,-0.14732044599635946,0.7234640020416663,0.424456110164555,0.06790667338275136,0.1651815500989373,0.21719068769545236,0.2520281151241157
13,15,4.5,0.31099313747215196,2.0809344376832537,-0.14944879177375087,0.759682688683333,0.36523345449734723,0.05833428153801923,0.1741225004432596,0.23730894967876726,0.2456777132168253
13,20,3.5,0.29440703418546454,1.6469981978203745,-0.1787537075481204,0.588742192441666,0.41171456471313417,0.02146494183679204,0.1499136324952659,0.26836190757949274,0.27733370096773813
13,20,4.0,0.31154441819242007,1.8908539642640574,-0.16476387075914498,0.6808875734499995,0.3997817126353902,0.08466060231109895,0.16163874099543207,0.2388551720466665,0.25389474565381165
13,20,4.5,0.320216167644509,2.106666487408933,-0.15200135833477596,0.753607690033333,0.4102703886235075,0.07352659702468145,0.17678777528430256,0.23992057606873596,0.23566170664643105
14,10,3.5,0.3341866538039351,2.7328553831517204,-0.12228479262540691,1.062494300833333,0.4296487920856682,0.024236337177250267,0.16315917231973187,0.20652567050546367,0.20143046647198792
14,10,4.0,0.3338167755808603,2.747684558411412,-0.12149021056982547,1.1213191771416664,0.3863440939209797,0.020961008644624357,0.15871558536241626,0.22721843632844774,0.1919200903969389
14,10,4.5,0.33530824358376377,2.5958812594171374,-0.12916933021006197,1.1184907485666664,0.40595759040498436,0.0068768484818959585,0.16467534914801374,0.22617022324903502,0.1957552943603711
14,15,3.5,0.3261818208411278,2.4882732039224327,-0.13108762346793165,0.9872918839166667,0.4324392611163643,-0.00018722591337794192,0.15845324049270992,0.23256289386067297,0.2098045525041734
14,15,4.0,0.33754513605696745,2.979350458413183,-0.11329487442600011,1.098379137991666,0.446696759559589,0.023911491376428673,0.14902135293981078,0.20871514920399292,0.19712267971891606
14,15,4.5,0.3315230954293895,2.6984034541894584,-0.12285897978476011,1.1217213894416664,0.3881697894050058,0.01100639398153569,0.15867491305084025,0.22908705961186282,0.188397101361369
14,20,3.5,0.3218477337870145,2.509793931919492,-0.1282367168450619,0.9712183886583334,0.4349413303922003,-0.009569136251133203,0.1288109503124939,0.2559308406466061,0.2150574092853481
14,20,4.0,0.3325306661669942,2.545290909128608,-0.13064544605663075,1.0558027093999995,0.41955922964939707,0.0284728914950525,0.14350168181198852,0.22658126545117874,0.20112523477538802
14,20,4.5,0.34044581907124427,3.0381700280109287,-0.11205621013058709,1.1223486016916668,0.4315586177781825,0.02575953648778473,0.15764770812059403,0.2305259023592896,0.17885377568016314
15,10,3.5,0.34343022665324274,2.292566259182586,-0.1498016579794264,1.1101835188416667,0.4150422103109972,0.024231346254210973,0.11000763881588971,0.2743856649528911,0.21962502532879546
15,10,4.0,0.3479332966450168,2.498360416779089,-0.13926465305337166,1.1665591573333334,0.361991765152317,0.032025881686779334,0.11434032593610488,0.3138429944015868,0.20724195998898431
15,10,4.5,0.3440040779821749,1.9680488230762414,-0.17479448372854128,1.1404422383583332,0.34712427338272356,0.02648263944562168,0.11211773377919054,0.30786080674169014,0.22935080251567963
15,15,3.5,0.33142052631876795,1.9992052719957008,-0.16577613662849558,1.0143584295166663,0.39191325078303296,0.00011877251357073071,0.1011078137815491,0.3135697337409711,0.23445594435481287
15,15,4.0,0.3489857287661118,2.5313509837841854,-0.13786540507488357,1.1505018600166665,0.41804665306985966,0.03038551889983343,0.1051147154811567,0.2757132466228336,0.22015857377232018
15,15,4.5,0.3420617352059079,2.0439778733931337,-0.16735099712114965,1.1436728792333333,0.3403001289305585,0.030731642735314812,0.11493769503660523,0.3068242332168616,0.21645220153220834
15,20,3.5,0.33218324003103916,2.0396827791262417,-0.1628602464219165,1.0030076101999992,0.3993409465251512,-0.009348992406162604,0.09774274171395936,0.3391183880236013,0.23045139965750572
15,20,4.0,0.340972529928939,2.058323088741543,-0.16565549489969006,1.064416480916667,0.38943838295092514,0.043609392305792305,0.09470426471305404,0.3006362250741128,0.22437861375754142
15,20,4.5,0.3555813837633104,2.434882483629461,-0.14603636362494057,1.1375978805833333,0.41434092230906217,0.03979643083481199,0.11857238536815817,0.3166966361351211,0.20006766695461864
16,10,3.5,0.3391138492194121,2.123796921640343,-0.15967338767846645,0.8757029202583329,0.4387728660434964,0.030523826131200638,0.13250619106251915,0.3475368747465406,0.20987613697015783
16,10,4.0,0.34364165807339986,2.4152399941412344,-0.14228054309591934,0.927645054733333,0.394431654388929,0.03410192694128478,0.13703245036079914,0.3816776171153695,0.19989999715813722
16,10,4.5,0.3418179062338469,2.0091958495997067,-0.1701267232370341,0.9426576620166669,0.38766676804446476,0.027333197750891713,0.1323911427813136,0.3598947385834377,0.21953293132236906
16,15,3.5,0.3282326597186629,1.8531840703640627,-0.17711821775706324,0.791009686866667,0.413512948646205,0.004260059643052427,0.13371866678176825,0.38929646845372434,0.22178983032302857
16,15,4.0,0.34530162492766947,2.4394244521703037,-0.14155044835287356,0.9115877574166666,0.45143032279284245,0.03696981745717198,0.12643432484271222,0.3447114975061436,0.210570046662361
16,15,4.5,0.33781360621888545,2.0432238011190265,-0.1653336291569591,0.9047587766333332,0.3853770030341057,0.03239597401342875,0.14167365274377564,0.3588899960584859,0.2088357581363134
16,20,3.5,0.32726157167208947,1.9201787890730326,-0.1704328646553143,0.7841478521083329,0.42246265091143265,-0.006139196370591793,0.12291750226761522,0.41246495932792016,0.21771343827083034
16,20,4.0,0.3377836738392628,1.9342556096513572,-0.1746323868230358,0.835059898316667,0.4151260233057057,0.05188903206208462,0.12448337583249014,0.36926076047101364,0.21294970945279457
16,20,4.5,0.3501342268323473,2.395879280047426,-0.14614017899324896,0.8986837779833332,0.44749369516453075,0.04268535802630624,0.1414168887338243,0.3781970824078513,0.19416389617684038
